,Title,Ingredients,Servings,Difficulty,Calories,Fats/g,Protein/g,Carbs/g,Time,URL,Ingredients_parsed,Ingredients_final
766,Prawn-stuffed spicy fish with vermicelli,"['100 g vermicelli', '2 courgettes', '2 tomatoes , roughly chopped', '½ a bunch fresh coriander , (15g) roughly chopped', '1 small preserved lemon , (or ½ a homemade preserved lemon), finely chopped', '1 pinch ground cumin , plus a little extra', '1 teaspoon sweet paprika , plus a little extra', '1 teaspoon ground ginger , plus a little extra', '2 teaspoons harissa', '2 x 300 g dorade, or other large fish such as sea bass, snapper or cod , from sustainable sources, ask your fishmonger, scaled, fins cut off, cavity cut open and cleaned', 'olive oil', '1 large handful small raw peeled prawns , from sustainable sources, ask your fishmonger']",2,Not too tricky,650.0,17.6,72.4,46.3,1 hour 5 minutes,https://www.jamieoliver.com/recipes/seafood-recipes/prawn-stuffed-spicy-fish-with-vermicelli/,vermicelli courgette tomato roughly chopped a bunch fresh coriander roughly chopped small preserved lemon a homemade preserved finely chopped ground cumin plus a little extra sweet paprika plus a little extra ground ginger plus a little extra harissa or other large fish such a sea snapper or cod from sustainable ask your fin cut cavity cut open and cleaned olive oil large handful small raw peeled prawn from sustainable ask your fishmonger,vermicelli courgette tomato coriander preserved lemon homemade preserved cumin paprika ginger harissa other snapper cod fin cavity open cleaned prawn
767,Prawn-stuffed flatfish,"['1.2 - 1.5 kg flatfish, such as flounder, lemon or Dover sole, plaice turbot or brill , or 4x200g, from sustainable sources, ask your fishmonger', '2 medium onions , peeled and finely sliced', '3 tablespoons olive oil', '2 cloves garlic , peeled and finely grated', 'cayenne pepper', '1 lemon', '250 g raw prawns , from sustainable sources, ask your fishmonger, peeled', 'olive oil', '1 splash white wine', '½ a bunch fresh flat-leaf parsley (15g)']",4,Not too tricky,445.0,26.0,47.4,5.0,40 minutes,https://www.jamieoliver.com/recipes/seafood-recipes/prawn-stuffed-flatfish/,such a lemon or dover plaice turbot or brill or from sustainable ask your fishmonger onion peeled and finely sliced olive oil clove garlic peeled and finely grated cayenne pepper lemon raw prawn from sustainable ask your peeled olive oil splash white wine a bunch fresh flat leaf parsley,lemon dover plaice turbot brill onion garlic cayenne lemon prawn wine
768,Prawn and watermelon salad,"['2 limes , zest and juice of', '12 raw prawns , from sustainable sources, ask your fishmonger, peeled', '100 g unsalted cashews', '1 tablespoon sesame seeds', '1 small bunch mint', '1 red chilli , deseeded and finely chopped', '2 handfuls baby spinach', '400 g watermelon , seeds removed, cut into chunks', '4 spring onions , finely sliced', 'sesame oil', 'sea salt', 'freshly ground black pepper']",2,Super easy,560.0,37.0,29.9,25.0,20 minutes,https://www.jamieoliver.com/recipes/seafood-recipes/prawn-and-watermelon-salad/,lime zest and juice raw prawn from sustainable ask your peeled unsalted cashew sesame seed small bunch mint red chilli deseeded and finely chopped handful baby spinach watermelon seed cut into chunk spring onion finely sliced sesame oil sea salt freshly ground black pepper,lime prawn cashew mint spinach watermelon onion
769,"Pouting fish fingers, sweet potato chips & cheat’s basil mayo","['2 x 130 g pouting or whiting fillets , from sustainable sources, ask your fishmonger, skin on, scaled and pin-boned', '2 heaped tablespoons plain flour', '1 free-range egg , beaten', '50 g fresh breadcrumbs', '1 clove garlic , crushed', '½ lemon , juice of', 'For the sweet potato chips', '2 medium sweet potatoes , scrubbed clean and cut lengthways into 8 wedges', '½ teaspoon sweet smoked paprika', 'olive oil', 'For the basil mayo', '4 sprigs fresh basil', '½ lemon , cut into wedges', '1 heaped tablespoon low-fat mayonnaise , made with free-range eggs', '2 sprigs fresh rosemary', '1 tablespoon fat-free natural yoghurt']",2,Super easy,621.0,18.3,36.0,84.0,45 minutes,https://www.jamieoliver.com/recipes/fish-recipes/pouting-fish-fingers-sweet-potato-chips-cheat-s-basil-mayo/,pouting or whiting fillet from sustainable ask your skin scaled and pin boned plain flour free range egg beaten fresh breadcrumb clove garlic crushed lemon juice for the sweet potato chip sweet potato scrubbed clean and cut lengthways into wedge sweet smoked paprika olive oil for the basil mayo sprig fresh basil lemon cut into wedge low fat mayonnaise made with free range egg sprig fresh rosemary fat free natural yoghurt,pouting whiting scaled boned egg beaten breadcrumb garlic crushed lemon potato chip potato scrubbed clean lengthways wedge paprika basil mayo basil lemon wedge mayonnaise made egg rosemary yoghurt
770,Potato salad with smoked salmon & horseradish crème fraîche,"['600 g new potatoes , washed', '1 lemon , zest and juice of', '1 splash red wine vinegar', 'extra virgin olive oil', '2 tablespoons capers , soaked and drained', '3 cm piece fresh horseradish , peeled, or grated horseradish from a jar, to taste', '150 ml crème fraîche', '1 small bunch fresh dill or fennel tops , roughly chopped', '400 g sliced smoked salmon , from sustainable sources, ask your fishmonger']",4,Super easy,400.0,20.1,29.4,23.6,40 minutes,https://www.jamieoliver.com/recipes/fish-recipes/potato-salad-with-smoked-salmon-and-horseradish-cr-me-fraiche/,new potato washed lemon zest and juice splash red wine vinegar extra virgin olive oil caper soaked and drained piece fresh horseradish or grated horseradish from a to taste creme fraiche small bunch fresh dill or fennel top roughly chopped sliced smoked salmon from sustainable ask your fishmonger,potato lemon wine soaked horseradish horseradish taste dill fennel top salmon
771,Potato and chorizo omelette with a kinda parsley salad,"['4 small waxy potatoes , scrubbed and cut into chunks', '6 large free-range eggs', '2 x 60 g iberico chorizo sausages , cut into 1cm thick slices', '2 sprigs fresh rosemary , leaves picked', '2 shallots , peeled and very finely sliced', '1 lemon , juice of', 'extra virgin olive oil', '1 bunch fresh flat-leaf parsley , (30g), leaves picked']",2,Super easy,671.0,44.4,43.0,22.4,45 minutes,https://www.jamieoliver.com/recipes/eggs-recipes/potato-and-chorizo-omelette-with-a-kinda-parsley-salad/,small waxy potato scrubbed and cut into chunk large free range egg iberico chorizo sausage cut into thick sprig fresh rosemary leaf picked shallot peeled and very finely sliced lemon juice extra virgin olive oil bunch fresh flat leaf parsley leaf picked,waxy potato scrubbed egg iberico chorizo sausage rosemary shallot very lemon
772,Pot-roasted shoulder of lamb with roasted butternut squash and sweet red onions,"['1 quality shoulder of lamb , deboned and untied', '1 dessertspoon coriander seeds', '1 small handful fresh rosemary , leaves picked', 'sea salt', 'freshly ground black pepper', 'extra virgin olive oil', '3 red onions , peeled and quartered', '565 ml cranberry juice', '2 butternut squash , quartered', '1 small handful fresh coriander , leaves picked', '4 spring onions , trimmed and finely sliced', '1 lemon , juice of', '8 tablespoons fat-free natural yoghurt']",6,Not too tricky,530.0,30.3,28.9,32.9,2 hours 20 minutes,https://www.jamieoliver.com/recipes/lamb-recipes/pot-roasted-shoulder-of-lamb-with-roasted-butternut-squash-and-sweet-red-onions/,quality shoulder lamb deboned and untied dessertspoon coriander seed small handful fresh rosemary leaf picked sea salt freshly ground black pepper extra virgin olive oil red onion peeled and quartered cranberry juice butternut squash quartered small handful fresh coriander leaf picked spring onion trimmed and finely sliced lemon juice fat free natural yoghurt,lamb deboned untied dessertspoon coriander rosemary onion quartered cranberry quartered coriander onion lemon yoghurt
773,Pot roast pork,"['olive oil', '2 medium red onions , peeled and sliced', '2 cloves garlic , peeled and sliced', '1.5 kg higher-welfare loin of pork , boned, skinned, rolled and tied', 'sea salt', 'freshly ground black pepper', '1 small bunch fresh thyme , leaves picked', '2 knobs butter', '6 figs , quartered', '2 wineglasses Marsala', '275 ml organic chicken stock', '3 heaped tablespoons crème fraîche , optional']",8,Super easy,575.0,41.0,31.5,7.6,1 hour 25 minutes plus resting time,https://www.jamieoliver.com/recipes/pork-recipes/pot-roast-pork/,olive oil red onion peeled and sliced clove garlic peeled and sliced higher welfare loin pork rolled and tied sea salt freshly ground black pepper small bunch fresh thyme leaf picked knob butter fig quartered wineglass marsala organic chicken stock creme fraiche optional,onion garlic loin pork rolled tied thyme butter fig quartered wineglass marsala chicken
774,Posh roast pork party kebabs,"['2 kg boneless rolled higher-welfare pork loin , or 2x1kg higher-welfare pork loin joints, at room temperature', '1 small bunch of fresh rosemary , plus a few more small sprigs', '3 cloves of garlic', '3 heaped tablespoons fennel seeds', '10 handfuls of mixed salad leaves (such as baby chard, rocket, watercress and red or white chicory)', '1 small bunch of fresh flat-leaf parsley', '2 fresh red chillies', '2 fresh green chillies', '500 ml fat-free natural yoghurt', '1 lemon', 'extra virgin olive oil', '10 pitta breads']",10,Super easy,687.0,42.5,46.4,29.1,1 hour 40 minutes,https://www.jamieoliver.com/recipes/pork-recipes/posh-roast-pork-party-kebabs/,boneless rolled higher welfare pork loin or higher welfare pork loin at room temperature small bunch fresh rosemary plus a few more small sprig clove garlic fennel seed handful mixed salad leaf a baby watercress and red or white small bunch fresh flat leaf parsley fresh red chilli fresh green chilli fat free natural yoghurt lemon extra virgin olive oil pitta bread,boneless rolled pork loin pork loin at room temperature rosemary more garlic fennel watercress yoghurt lemon pitta
775,Pork loin with a great herby stuffing,"['½ a higher-welfare pork loin , (preferably the rib end), skin on, bone out', 'a few sprigs of fresh rosemary', '3 heaped tablespoons fennel seeds', '500 g sourdough or rustic bread', '2 red onions', '3 cloves of garlic', 'a few sprigs of fresh sage', 'olive oil', '1 handful of pine nuts', '4 tablespoons balsamic vinegar']",8,Not too tricky,242.0,12.1,14.8,17.4,1 hour 30 minutes,https://www.jamieoliver.com/recipes/pork-recipes/pork-loin-with-a-great-herby-stuffing/,a higher welfare pork loin the rib skin bone out a few sprig fresh rosemary fennel seed sourdough or rustic bread red onion clove garlic a few sprig fresh sage olive oil handful pine nut balsamic vinegar,pork loin rib out rosemary fennel sourdough rustic onion garlic sage
776,Pork belly roast,"['1.3 kg piece of higher-welfare pork belly', '15 g fennel seeds', '100 ml olive oil', '2 carrots', '2 sticks of celery', '1 bulb of garlic', '2 onions', '½ a bunch of fresh thyme', '1 bottle of white wine', '75 g plain flour']",6,Not too tricky,647.0,41.7,29.0,22.0,3 hours 10 minutes plus resting time,https://www.jamieoliver.com/recipes/pork-recipes/pork-belly-roast/,piece higher welfare pork belly fennel seed olive oil carrot stick celery garlic onion a bunch fresh thyme bottle white wine plain flour,pork belly fennel carrot celery garlic onion thyme bottle wine
777,Poached chicken and vegetable soup,"['1.6 kg whole higher-welfare chicken', '4 carrots , peeled and sliced', '1 heart celery , sliced, yellow leaves reserved', '12 new potatoes , peeled', 'a few sprigs fresh thyme', '2 large handfuls peas', '1 leek , washed and shredded', '1 small bunch fresh flat-leaf parsley , leaves picked and chopped']",6,Super easy,462.0,24.9,36.4,20.5,2 hours 15 minutes,https://www.jamieoliver.com/recipes/chicken-recipes/poached-chicken-and-vegetable-soup/,higher welfare chicken carrot peeled and sliced heart celery yellow leaf reserved new potato peeled a few sprig fresh thyme large handful pea leek washed and shredded small bunch fresh flat leaf parsley leaf picked and chopped,chicken carrot heart celery reserved potato thyme pea leek shredded
778,"Smoked pancetta, mozzarella, fresh chilli and tomatoes pizza topping","['6 tablespoons tomato sauce', '50 g mozzarella', '1 fresh red chilli , finely sliced', 'sea salt', 'freshly ground black pepper', '4-5 slices higher-welfare smoked pancetta , thinly sliced', 'extra virgin olive oil']",enough for 1 pizza,Super easy,478.0,37.9,25.3,8.0,35 minutes,https://www.jamieoliver.com/recipes/bread-recipes/smoked-pancetta-mozzarella-fresh-chilli-and-tomatoes-pizza-topping/,tomato sauce mozzarella fresh red chilli finely sliced sea salt freshly ground black pepper higher welfare smoked pancetta thinly sliced extra virgin olive oil,tomato pancetta thinly
779,"Slow-roasted shredded pork with thyme, Taleggio and lemon-dressed rocket pizza dressing","['For the pork', '1 kg higher-welfare pork shoulder', '2 tablespoons fennel seeds', 'sea salt', 'freshly ground black pepper', 'olive oil', 'For each pizza topping', '2 tablespoons tomato sauce', '50 g Taleggio sauce', '1 teaspoon fresh thyme leaves', '1 small handful rocket', '½ lemon , juice of']",enough for 1 pizza,Super easy,472.0,35.9,32.9,3.5,4 hours 35 minutes plus cooling time,https://www.jamieoliver.com/recipes/bread-recipes/slow-roasted-shredded-pork-with-thyme-taleggio-and-lemon-dressed-rocket-pizza-dressing/,for the pork higher welfare pork shoulder fennel seed sea salt freshly ground black pepper olive oil for each pizza topping tomato sauce taleggio sauce fresh thyme leaf small handful rocket lemon juice,pork pork fennel each pizza topping tomato taleggio thyme rocket lemon
780,"Potatoes, mozzarella, rosemary, thyme and tomato pizza topping","['6 tablespoons tomato sauce', '4 new potatoes , cooked', '1 small handful fresh rosemary leaves', '1 teaspoon thyme tips', 'extra virgin olive oil', 'lemon juice', 'salt', 'freshly ground black pepper', '50 g mozzarella']",enough for 1 pizza,Super easy,544.0,35.8,15.1,38.0,1 hour 20 minutes,https://www.jamieoliver.com/recipes/bread-recipes/potatoes-mozzarella-rosemary-thyme-and-tomato-pizza-topping/,tomato sauce new potato cooked small handful fresh rosemary leaf thyme tip extra virgin olive oil lemon juice salt freshly ground black pepper mozzarella,tomato potato rosemary thyme tip lemon
781,"Mozzarella, anchovies, chilli, capers and parsley pizza topping","['4 anchovy fillets', '½ fresh red chilli , sliced', '1 heaped teaspoon small capers , rinsed if salty', 'extra virgin olive oil', '½ lemon , zest and juice of', '3 tablespoons tomato sauce', '50 g mozzarella', '1 tablespoon finely sliced fresh flat-leaf parsley', 'sea salt', 'freshly ground black pepper']",enough for 1 pizza,Super easy,506.0,44.8,19.3,5.1,50 minutes,https://www.jamieoliver.com/recipes/bread-recipes/mozzarella-anchovies-chilli-capers-and-parsley-pizza-topping/,anchovy fillet fresh red chilli sliced small caper rinsed if salty extra virgin olive oil lemon zest and juice tomato sauce mozzarella finely sliced fresh flat leaf parsley sea salt freshly ground black pepper,anchovy rinsed salty lemon tomato
782,"Green and red grapes, rosemary, pine nuts and ricotta pizza topping","['1 handful red and green grapes , halved and deseeded', '1 tablespoon pine nuts', '1 small handful fresh rosemary , leaves picked', '2 tablespoons vanilla sugar', '1 tablespoon white wine', '1 heaped tablespoon crumbly ricotta', 'extra virgin olive oil']",enough for 1 pizza,Super easy,878.0,25.6,21.5,135.6,45 minutes,https://www.jamieoliver.com/recipes/bread-recipes/green-and-red-grapes-rosemary-pine-nuts-and-ricotta-pizza-topping/,handful red and green grape halved and deseeded pine nut small handful fresh rosemary leaf picked vanilla sugar white wine crumbly ricotta extra virgin olive oil,grape rosemary vanilla wine crumbly
783,"Egg, prosciutto, artichokes, olives, mozzarella, tomato sauce and basil pizza topping","['6 tablespoons tomato sauce', '2 baby artichokes', '3 slices quality prosciutto', '1 small handful olives , stone removed', '1 small free-range egg', '50 g mozzarella', 'extra virgin olive oil', 'sea salt', 'freshly ground black pepper']",enough for 1 pizza,Super easy,646.0,44.7,35.1,16.1,15 minutes,https://www.jamieoliver.com/recipes/bread-recipes/egg-prosciutto-artichokes-olives-mozzarella-tomato-sauce-and-basil-pizza-topping/,tomato sauce baby artichoke quality prosciutto small handful olive stone removed small free range egg mozzarella extra virgin olive oil sea salt freshly ground black pepper,tomato artichoke prosciutto stone egg
784,Perfect roast chicken,"['1 x 1.6 kg higher-welfare chicken', '2 medium onions', '2 carrots', '2 sticks of celery', '1 bulb of garlic', 'olive oil', '1 lemon', '1 bunch of mixed fresh herbs , such as, thyme, rosemary, bay']",4,Super easy,374.0,15.8,45.5,13.4,1 hour 25 minutes plus resting time,https://www.jamieoliver.com/recipes/chicken-recipes/perfect-roast-chicken/,higher welfare chicken onion carrot stick celery garlic olive oil lemon bunch mixed fresh herb such bay,chicken onion carrot celery garlic lemon
785,"Penne with tomato, basil, olives and pecorino","['750 g pomodorino tomatoes', 'olive oil', 'sea salt', 'freshly ground black pepper', 'good-quality balsamic vinegar', '500 g penne', '200 g black olives , stoned and halved', '1 small bunch fresh basil , leaves picked', '1 chunk pecorino cheese , to serve']",4,Super easy,598.0,15.6,18.0,102.5,40 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/penne-with-tomato-basil-olives-and-pecorino/,pomodorino tomato olive oil sea salt freshly ground black pepper good quality balsamic vinegar penne black olive stoned and halved small bunch fresh basil leaf picked chunk pecorino cheese to serve,pomodorino tomato penne stoned basil pecorino cheese
786,Pea and goat’s cheese risotto,"['1 litre organic chicken or vegetable stock', '25 g butter', '½ onion , finely chopped', '100 g higher-welfare streaky bacon , cut into matchsticks', '1 bunch fresh thyme', '400 g risotto rice', '150 ml white wine', '200 g frozen peas', 'sea salt', 'freshly ground black pepper', ""100 g crumbly goat's cheese"", '75 g Parmesan cheese , freshly grated']",4,Super easy,804.0,30.3,32.4,93.4,30 minutes,https://www.jamieoliver.com/recipes/rice-recipes/pea-and-goat-s-cheese-risotto/,organic chicken or vegetable stock butter onion finely chopped higher welfare streaky bacon cut into matchstick bunch fresh thyme risotto rice white wine frozen pea sea salt freshly ground black pepper crumbly cheese parmesan cheese freshly grated,chicken butter onion bacon matchstick thyme risotto rice wine pea crumbly cheese parmesan cheese
787,Pasta peperonata,"['2 red peppers', '2 yellow peppers', 'extra virgin olive oil', '2 red onions', '2 cloves of garlic', '2 handfuls of fresh flat-leaf parsley', '2 tablespoons red wine vinegar or balsamic vinegar', '2 handfuls of Parmesan cheese', '2 heaped tablespoons mascarpone cheese or crème fraîche , optional', '455 g rigatoni, penne or spaghetti']",4,Super easy,604.0,14.0,23.4,92.0,1 hour,https://www.jamieoliver.com/recipes/pasta-recipes/pasta-peperonata/,red pepper yellow pepper extra virgin olive oil red onion clove garlic handful fresh flat leaf parsley red wine vinegar or balsamic vinegar handful parmesan cheese mascarpone cheese or creme fraiche optional penne or spaghetti,onion garlic wine parmesan cheese mascarpone cheese penne
788,Spicy squash soup,"['1¼ litres organic chicken or vegetable stock', '6-7 lime leaves', '3 fresh red chillies , deseeded', '2 cloves garlic , peeled', '1 large thumb-sized piece fresh ginger , peeled', '3 sticks lemongrass , trimmed and squashed with the back of a knife', 'sea salt', 'freshly ground black pepper', '1 small bunch fresh coriander', 'olive oil', '1 heaped teaspoon five-spice', '1 teaspoon ground cumin', '1 onion , peeled and finely sliced', '1 large butternut or acorn squash , halved, deseeded and cut into 1 inch chunks', '200 g basmati rice , washed', '2 x 400 ml tinned light coconut milk', '3-4 limes , juice of', '1 fresh red chilli , finely sliced, optional']",4,Super easy,609.0,29.6,17.5,64.4,1 hour plus baking the pumpkin shell,https://www.jamieoliver.com/recipes/vegetables-recipes/spicy-squash-soup/,organic chicken or vegetable stock lime leaf fresh red chilli deseeded clove garlic peeled large thumb sized piece fresh ginger peeled stick lemongrass trimmed and squashed with the back a knife sea salt freshly ground black pepper small bunch fresh coriander olive oil five spice ground cumin onion peeled and finely sliced large butternut or acorn squash deseeded and cut into chunk basmati rice washed tinned light coconut milk lime juice fresh red chilli finely optional,chicken lime garlic thumb ginger lemongrass squashed back knife coriander five cumin onion acorn rice coconut milk lime
789,Parsnip and pancetta tagliatelle with parmesan and butter,"['8 slices higher-welfare pancetta or dry-cured smoked streaky bacon', '1 handful fresh rosemary, thyme or summer savory , leaves picked', '1 good knob butter', '2 cloves garlic , peeled and finely sliced', '2 parsnips , peeled and finely sliced', '455 g dried tagliatelle', '1 good handful Parmesan cheese , grated', 'sea salt', 'freshly ground black pepper', '1 tablespoon olive oil']",4,Super easy,428.0,10.7,18.9,61.3,25 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/parsnip-and-pancetta-tagliatelle-with-parmesan-and-butter/,higher welfare pancetta or dry cured smoked streaky bacon handful fresh thyme or summer savory leaf picked good knob butter clove garlic peeled and finely sliced parsnip peeled and finely sliced dried tagliatelle good handful parmesan cheese grated sea salt freshly ground black pepper olive oil,pancetta cured bacon thyme summer savory butter garlic parsnip tagliatelle parmesan cheese
790,"Pan-seared venison with blueberries, shallots and red wine","['1 small handful fresh thyme , leaves picked', '5 dried juniper berries', 'sea salt', 'freshly ground black pepper', 'extra virgin olive oil', '800 g quality venison loin , trimmed', '4 shallots , peeled and finely sliced', '1 clove garlic , peeled and finely sliced', '1 glass red wine', '200 g fresh blueberries', '2 large knobs butter']",4,Super easy,497.0,26.7,45.5,7.5,25 minutes,https://www.jamieoliver.com/recipes/game-recipes/pan-seared-venison-with-blueberries-shallots-and-red-wine/,small handful fresh thyme leaf picked dried juniper berry sea salt freshly ground black pepper extra virgin olive oil quality venison loin trimmed shallot peeled and finely sliced clove garlic peeled and finely sliced glass red wine fresh blueberry large knob butter,thyme juniper berry venison loin shallot garlic glass wine blueberry butter
791,Pan-roasted salmon with purple sprouting broccoli and anchovy-rosemary sauce,"['For the anchovy-rosemary sauce', '1 sprig fresh rosemary , leaves picked and very finely chopped', '10 good-quality anchovy fillets in oil , drained and roughly chopped', '1 lemon , juice of', 'extra virgin olive oil', 'freshly ground black pepper', 'For the salmon', '4 x 200 g salmon fillets , from sustainable sources, ask your fishmonger, pinboned', 'olive oil', 'sea salt', 'freshly ground black pepper', '500 g purple sprouting broccoli']",4,Super easy,570.0,38.4,50.5,3.5,15 minutes,https://www.jamieoliver.com/recipes/fish-recipes/pan-roasted-salmon-with-purple-sprouting-broccoli-and-anchovy-rosemary-sauce/,for the anchovy rosemary sauce sprig fresh rosemary leaf picked and very finely chopped good quality anchovy fillet oil drained and roughly chopped lemon juice extra virgin olive oil freshly ground black pepper for the salmon salmon fillet from sustainable ask your pinboned olive oil sea salt freshly ground black pepper purple sprouting broccoli,anchovy rosemary rosemary very anchovy lemon salmon salmon pinboned purple sprouting broccoli
792,Pan-fried lemon sole fillets with salsa verde,"['1 clove garlic , peeled', '1 handful capers , drained', '1 handful gherkins , drained and finely chopped', '6 good-quality anchovy fillets in oil , finely chopped', '2 bunches fresh flat-leaf parsley , finely chopped', '1 bunch fresh basil , leaves picked and finely chopped', '1 bunch fresh mint , leaves picked and finely chopped', '1 tablespoon Dijon mustard', 'red wine vinegar', 'good-quality extra virgin olive oil', 'sea salt', 'freshly ground black pepper', '300 g new potatoes , scrubbed or peeled', '4 double sole fillets , from sustainable sources, ask your fishmonger, pinboned', 'sea salt', 'freshly ground black pepper', 'flour', '300 g purple sprouting broccoli', 'olive oil', '1 knob butter', '1 lemon']",2,Super easy,955.0,56.1,66.5,40.1,30 minutes,https://www.jamieoliver.com/recipes/fish-recipes/pan-fried-lemon-sole-fillets-with-salsa-verde/,clove garlic peeled handful caper drained handful gherkin drained and finely chopped good quality anchovy fillet oil finely chopped bunch fresh flat leaf parsley finely chopped bunch fresh basil leaf picked and finely chopped bunch fresh mint leaf picked and finely chopped dijon mustard red wine vinegar good quality extra virgin olive oil sea salt freshly ground black pepper new potato scrubbed or peeled double sole fillet from sustainable ask your pinboned sea salt freshly ground black pepper flour purple sprouting broccoli olive oil knob butter lemon,garlic gherkin anchovy basil mint mustard wine potato scrubbed double sole pinboned purple sprouting broccoli butter lemon
793,Pan-cooked asparagus & mixed fish,"['olive oil', '2 small red mullet or snapper fillets , scaled, pin-boned, from sustainable sources', '1 royal bream fillet or sea bass fillet , scaled, pin-boned, cut in half, from sustainable sources', '2 small squid , gutted, cleaned, tentacles trimmed and reserved, from sustainable sources', '2-4 freshly shelled scallops , cleaned and scored in a criss-cross fashion, from sustainable sources', '10 medium asparagus spears , woody ends removed', '1 small handful thyme tips', '1 fresh red chilli , deseeded and chopped', 'extra virgin olive oil', '1 lemon', '1 small handful fennel tops']",2,Super easy,365.0,18.4,43.7,6.5,15 minutes,https://www.jamieoliver.com/recipes/fish-recipes/pan-cooked-asparagus-and-mixed-fish/,olive oil small red mullet or snapper fillet pin from sustainable source royal bream fillet or sea bass fillet pin cut from sustainable source small squid tentacle trimmed and from sustainable source freshly shelled scallop cleaned and scored a criss cross from sustainable source asparagus spear woody end removed small handful thyme tip fresh red chilli deseeded and chopped extra virgin olive oil lemon small handful fennel top,mullet snapper royal bream bass squid tentacle scallop cleaned scored criss cross spear woody end thyme tip lemon fennel top
794,Paella,"['6 free-range chicken thighs , skin on, bone in', 'plain flour', 'olive oil', '100 g quality chorizo', '1 onion', '4 cloves of garlic', '½ a bunch of fresh flat-leaf parsley', '6 rashers of higher-welfare pancetta or smoked streaky bacon', '2 litres organic chicken stock', '2 large pinches of saffron', '1 heaped teaspoon smoked paprika', '500 g paella rice', '2 small squid , from sustainable sources, optional', '2 handfuls of fresh or frozen peas', '10 large raw shell-on king prawns , from sustainable sources', '500 g mussels , (cleaned) from sustainable sources, optional', '1 lemon']",6,Showing off,858.0,23.2,76.5,85.7,1 hour 25 minutes,https://www.jamieoliver.com/recipes/seafood-recipes/paella/,free range chicken thigh skin bone plain flour olive oil quality chorizo onion clove garlic a bunch fresh flat leaf parsley rasher higher welfare pancetta or smoked streaky bacon organic chicken stock large saffron smoked paprika paella rice small squid from sustainable optional handful fresh or frozen pea large raw shell on king prawn from sustainable source mussel from sustainable optional lemon,chicken chorizo onion garlic pancetta bacon chicken paprika paella rice squid pea shell king prawn mussel lemon
795,Oven-baked rigatoni with wild boar salami,"['1 good lug extra virgin olive oil', '½ wild boar salami , sliced (or use Napoli salami)', '1 red onion , peeled and sliced', '1 clove garlic , peeled and sliced', '4 tablespoons balsamic vinegar', '400 g tinned chopped tomatoes', '3 tablespoons crème fraîche', '1 large bunch fresh basil , leaves picked and chopped', 'sea salt', 'freshly ground black pepper', '300 g rigatoni', '1 ball buffalo mozzarella , sliced']",4,Super easy,569.0,31.0,24.5,46.9,45 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/oven-baked-rigatoni-with-wild-boar-salami/,good lug extra virgin olive oil wild boar salami sliced use napoli red onion peeled and sliced clove garlic peeled and sliced balsamic vinegar tinned chopped tomato creme fraiche large bunch fresh basil leaf picked and chopped sea salt freshly ground black pepper rigatoni ball buffalo mozzarella sliced,lug boar salami use napoli onion garlic tomato basil rigatoni ball buffalo
796,Aromatic pork noodles,"['2 x 350 g higher-welfare pork fillets', '1 handful of Szechuan peppercorns', '7 cm piece of ginger', '1-3 fresh red chillies', '2 cloves of garlic', '125 g oyster mushrooms', '125 g shiitake mushrooms', '1 red pepper', '1 bunch of spring onions', '200 g pak choi', '½ a bunch of fresh coriander', '300 g medium free-range egg noodles', '2 teaspoons sesame oil', '2 tablespoons sunflower oil', '300 g beansprouts', '2 teaspoons fish sauce', '6 tablespoons oyster sauce', '75 ml organic chicken stock', 'low-salt dark soy sauce']",4,Super easy,532.0,18.9,65.8,21.7,20 minutes,https://www.jamieoliver.com/recipes/pork-recipes/aromatic-pork-noodles/,higher welfare pork fillet handful szechuan peppercorn piece ginger fresh red chilli clove garlic oyster mushroom shiitake mushroom red pepper bunch spring onion pak choi a bunch fresh coriander free range egg noodle sesame oil sunflower oil beansprouts fish sauce oyster sauce organic chicken stock low salt dark soy sauce,pork szechuan peppercorn ginger garlic oyster mushroom shiitake mushroom onion pak choi coriander egg noodle sunflower beansprouts oyster chicken dark
797,Omega 3 and couscous,"['1 small handful fresh mint , torn', '500 g red mullet or sardines , from sustainable sources, ask your fishmonger, scaled, filleted and pinboned', 'olive oil', '2 red onions , peeled and finely chopped', '1 bulb fennel , herby tops removed and reserved and bulb finely chopped', '1 fresh red chilli , finely chopped', '1 teaspoon fennel seeds', '1 bay leaf', '300 g couscous', '500 g mixed ripe tomatoes', '2 anchovy fillets , chopped', 'sea salt', 'freshly ground black pepper', '2 lemons , zested and halved', '8 tablespoons natural yoghurt']",4,Super easy,616.0,28.5,35.3,51.7,40 minutes,https://www.jamieoliver.com/recipes/seafood-recipes/omega-3-and-couscous/,small handful fresh mint torn red mullet or sardine from sustainable ask your filleted and pinboned olive oil red onion peeled and finely chopped fennel herby top removed and reserved and finely chopped fresh red chilli finely chopped fennel seed bay leaf couscous mixed ripe tomato anchovy fillet chopped sea salt freshly ground black pepper lemon zested and halved natural yoghurt,mint torn mullet sardine filleted pinboned onion fennel herby top reserved fennel tomato anchovy lemon zested yoghurt
